Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
152671 (1998 HL3),0.298,0.2,,20.23,2459800.5,0.3661,1.129,0.716,2.68,163.64,188.15,348.98,1.54,0.8216,0.0454,1
152680 (1998 KJ9),,,,19.59,2459800.5,0.6398,1.448,0.521,10.93,98.56,260.09,284.03,2.37,0.5658,0.00548,1
152685 (1998 MZ),,,,19.34,2459800.5,0.5731,1.347,0.575,0.15,121.94,39.6,204.34,2.12,0.6306,0.00163,1
152754 (1999 GS6),0.414,0.216,8.021,19.3,2459800.5,0.4973,1.191,0.599,2.02,314.44,134.95,36.9,1.78,0.7581,0.0189,1
152770 (1999 RR28),,,,18.4,2459800.5,0.654,1.878,0.65,7.14,178.19,284.56,285.73,3.11,0.3828,0.0161,1
152828 (1999 VT25),,,,21.28,2459800.5,0.5233,1.162,0.554,5.15,221.95,319.21,344.37,1.77,0.7867,0.0484,1
152978 (2000 GJ147),0.531,0.109,10.009,19.57,2459800.5,0.2367,1.162,0.887,25.01,57.85,240.81,224.73,1.44,0.7866,0.0251,1
153002 (2000 JG5),,,6.051,18.28,2459800.5,0.7959,1.341,0.274,31.43,213.05,233.44,159.56,2.41,0.635,0.0286,1
153201 (2000 WO107),0.51,0.129,5.022,19.34,2459800.5,0.7807,0.9112,0.2,7.77,69.22,213.72,32.9,1.62,1.133,0.00314,1
153220 (2000 YN29),,,,17.41,2459800.5,0.6764,2.526,0.817,5.89,67.58,138.51,96.6,4.24,0.2454,0.0303,1
153311 (2001 MG1),,,,17.4,2459800.5,0.6462,2.501,0.885,28.42,142.37,218.46,104.91,4.12,0.2492,0.04,1
153591 (2001 SN263),2,,3.423,17.11,2459800.5,0.4801,1.987,1.033,6.69,325.74,173.08,61.86,2.94,0.3518,0.0487,1
153814 (2001 WN5),0.932,0.097,4.253,18.29,2459800.5,0.4671,1.712,0.912,1.92,277.42,44.61,118.43,2.51,0.4402,0.00166,1
153958 (2002 AM31),,,2.8174,18.37,2459800.5,0.4515,1.703,0.934,4.64,144.38,197.95,172.15,2.47,0.4434,0.0317,1
154019 (2002 CZ9),,,,22.07,2459800.5,0.3601,1.326,0.848,4.97,142.88,80.81,107.85,1.8,0.6458,0.0259,1
154269 (2002 SM),,,,17.89,2459800.5,0.486,1.872,0.962,14.43,10.88,217.22,352.61,2.78,0.3849,0.0243,1
154275 (2002 SR41),,,2.283,20.14,2459800.5,0.4908,1.083,0.552,11.58,247.79,258.18,140.66,1.62,0.8741,0.0361,1
