Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 OS7),,,,20.4,2459800.5,0.6452,1.909,0.678,7.03,137.01,73.19,140.38,3.14,0.3735,0.0101,1
       (2008 OT7),,,,27.1,2459800.5,0.3143,1.136,0.779,1.78,124.65,93.22,266.49,1.49,0.8145,0.00101,0
       (2008 OM8),,,,22,2459800.5,0.4475,2.101,1.161,8.43,129.63,206.5,209.23,3.04,0.3236,0.161,0
       (2008 ON8),,,,25.3,2454681.5,0.3545,1.648,1.064,5.16,130.84,183.66,359.28,2.23,0.4659,0.0495,0
       (2008 OO8),,,,25.2,2454681.5,0.5074,2.052,1.011,6.36,302.06,344.66,7.52,3.09,0.3353,0.00571,0
       (2008 OP8),,,,19.8,2459800.5,0.6762,2.209,0.715,5.22,186.14,37.48,119.74,3.7,0.3003,0.0497,1
       (2008 OQ8),,,,22.1,2459800.5,0.4655,2.304,1.231,1.6,134.51,189.26,0.72,3.38,0.2819,0.219,0
       (2008 OX8),,,,21.6,2459800.5,0.2511,1.603,1.201,8.16,322.13,0.31,317.53,2.01,0.4856,0.188,0
       (2008 OC9),,,,23.2,2459800.5,0.25,1.153,0.865,29.31,310.64,266.69,177.96,1.44,0.7958,0.0722,0
       (2008 ON10),,,,24.7,2459800.5,0.1614,1.163,0.976,7.09,130.92,242.94,19.12,1.35,0.7856,0.0292,0
       (2008 ON13),,,,19.9,2459800.5,0.816,2.219,0.408,5.87,143.79,46.89,117.56,4.03,0.2982,0.0417,1
       (2008 PE1),,,,24.1,2459800.5,0.5076,2.168,1.067,4.45,300.76,7.3,141.91,3.27,0.3088,0.0527,0
       (2008 PF1),,,,22,2459800.5,0.4945,1.36,0.687,2.76,129.57,284.21,258.44,2.03,0.6216,0.00759,1
       (2008 PF2),,,,23.7,2459800.5,0.577,2.454,1.038,6.49,133.15,171.74,231.07,3.87,0.2564,0.0253,0
       (2008 PG2),,,,22.8,2459800.5,0.0421,1.139,1.091,8.96,325.04,67.58,115.04,1.19,0.8113,0.105,0
       (2008 PH3),,,,21.7,2459800.5,0.4603,2.128,1.149,5.98,89.77,238.61,181.13,3.11,0.3175,0.164,0
       (2008 PJ3),,,,20.4,2454686.5,0.7599,1.775,0.426,11.36,89.61,347.99,334.33,3.12,0.4168,0.17,0
