Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
   433 Eros (A898 PA),16.84,0.25,5.27,10.31,2459800.5,0.2227,1.458,1.133,10.83,304.29,178.93,358.82,1.78,0.5598,0.15,0
   719 Albert (A911 TB),,,5.801,15.57,2459800.5,0.547,2.637,1.195,11.58,183.86,156.25,324.2,4.08,0.2302,0.201,0
   887 Alinda (A918 AA),4.2,0.31,28.41,13.84,2459800.5,0.5706,2.473,1.062,9.4,110.43,350.48,137.32,3.88,0.2535,0.0824,0
  1036 Ganymed (A924 UB),37.675,0.238,10.297,9.23,2459800.5,0.5331,2.666,1.245,26.68,215.51,132.45,185.91,4.09,0.2264,0.345,0
  1221 Amor (1932 EA1),1,,,17.38,2459800.5,0.4359,1.919,1.083,11.88,171.32,26.63,335.22,2.76,0.3708,0.107,0
  1566 Icarus (1949 MA),1,0.51,2.2726,16.52,2459800.5,0.8269,1.078,0.187,22.8,87.96,31.44,176.44,1.97,0.8805,0.034,1
  1580 Betulia (1950 KA),5.8,0.08,6.1324,14.73,2459800.5,0.4871,2.197,1.127,52.08,62.28,159.53,77.14,3.27,0.3026,0.137,0
  1620 Geographos (1951 RA),2.56,0.29,5.22204,15.34,2459800.5,0.3354,1.246,0.828,13.34,337.18,276.97,82.26,1.66,0.7088,0.0301,1
  1627 Ivar (1929 SH),9.12,0.15,4.795,12.76,2459800.5,0.3966,1.863,1.124,8.45,133.12,167.81,206.52,2.6,0.3875,0.112,0
  1685 Toro (1948 OA),3.4,0.31,10.1995,14.31,2459800.5,0.436,1.368,0.771,9.38,274.23,127.21,63.33,1.96,0.6163,0.0502,0
  1862 Apollo (1932 HA),1.5,0.25,3.065,16.11,2459800.5,0.56,1.471,0.647,6.35,35.56,286.05,170.73,2.29,0.5527,0.0258,1
  1863 Antinous (1948 EA),2.1,0.24,7.453,15.44,2459800.5,0.6059,2.259,0.89,18.4,346.42,268.08,302.06,3.63,0.2902,0.184,0
  1864 Daedalus (1971 FA),3.7,0.273,8.572,14.77,2459800.5,0.6145,1.461,0.563,22.22,6.61,325.66,307.73,2.36,0.5582,0.269,0
  1865 Cerberus (1971 UA),1.2,0.22,6.8039,16.79,2459800.5,0.467,1.08,0.576,16.1,212.89,325.28,345.84,1.58,0.8782,0.157,0
  1866 Sisyphus (1972 XA),8.48,0.15,2.4,12.45,2459800.5,0.5384,1.893,0.874,41.21,63.47,293.08,46.81,2.91,0.3783,0.104,0
  1915 Quetzalcoatl (1953 EA),0.5,0.21,4.9,18.05,2459800.5,0.5705,2.544,1.092,20.4,162.94,347.81,90,3.99,0.243,0.11,0
  1916 Boreas (1953 RA),3.5,,3.4746,14.96,2459800.5,0.4499,2.272,1.25,12.88,340.6,335.9,49.8,3.29,0.2878,0.251,0
  1917 Cuyo (1968 AA),5.7,0.195,2.689,14.36,2459800.5,0.5055,2.15,1.063,23.96,188.29,194.52,144.8,3.24,0.3127,0.0729,0
  1943 Anteros (1973 EC),2.3,0.17,2.86923,15.69,2459800.5,0.2561,1.43,1.064,8.71,246.31,338.37,289.13,1.8,0.5761,0.0626,0
  1980 Tezcatlipoca (1950 LA),4.3,0.25,7.24612,13.81,2459800.5,0.3648,1.709,1.086,26.87,246.56,115.46,42.36,2.33,0.441,0.246,0
  1981 Midas (1973 EA),3.4,,5.22,15.28,2459800.5,0.65,1.777,0.622,39.83,356.85,267.82,285.79,2.93,0.4162,0.00503,1
  2059 Baboquivari (1963 UA),,,129.47,15.98,2459800.5,0.5316,2.643,1.238,11.02,200.69,192.43,227.75,4.05,0.2294,0.246,0
  2061 Anza (1960 UA),2.6,,6.712,16.48,2459800.5,0.5361,2.264,1.05,3.8,207.37,157.04,52.01,3.48,0.2893,0.0552,0
  2062 Aten (1976 AA),1.1,0.26,42.15,17.11,2459800.5,0.1828,0.9669,0.79,18.93,108.54,148.05,228.79,1.14,1.037,0.115,0
  2063 Bacchus (1977 HB),1.024,0.203,14.904,17.31,2459800.5,0.3494,1.078,0.701,9.43,33.07,55.37,258.14,1.45,0.8805,0.0675,0
  2100 Ra-Shalom (1978 RA),2.3,0.13,19.797,16.35,2459800.5,0.4366,0.832,0.469,15.76,170.79,356.08,130.68,1.2,1.299,0.15,0
  2101 Adonis (1936 CA),0.6,,,18.73,2459800.5,0.7643,1.874,0.442,1.32,349.48,43.62,283.47,3.31,0.3843,0.0116,1
  2102 Tantalus (1975 YA),1.649,0.245,2.384,15.97,2459800.5,0.2993,1.29,0.904,64,94.36,61.53,260.13,1.68,0.6726,0.0443,1
  2135 Aristaeus (1977 HA),,,,18.05,2459800.5,0.5031,1.599,0.795,23.07,191.13,290.98,172.61,2.4,0.4872,0.00998,1
  2201 Oljato (1947 XC),1.8,0.4328,26,15.36,2459800.5,0.7128,2.175,0.625,2.52,74.96,98.29,89.03,3.73,0.3072,0.00307,1
  2202 Pele (1972 RA),,,,17.14,2459800.5,0.5126,2.291,1.117,8.74,169.93,217.92,128.55,3.47,0.2842,0.145,0
  2212 Hephaistos (1978 SB),5.7,0.163,48,13.53,2459800.5,0.8373,2.16,0.351,11.54,27.51,209.41,297.44,3.97,0.3105,0.116,0
  2329 Orthos (1976 WA),,,4.6473,14.56,2459800.5,0.6539,2.409,0.834,24.48,169.27,146.08,115.22,3.98,0.2636,0.0946,0
  2340 Hathor (1976 UA),0.3,,3.35,20.32,2459800.5,0.4499,0.8438,0.464,5.86,211.31,40.09,116.13,1.22,1.272,0.00682,1
  2368 Beltrovata (1977 RA),2.3,0.27,5.9,15.2,2459800.5,0.4133,2.105,1.235,5.22,287.32,43.09,260.44,2.98,0.3226,0.233,0
  2608 Seneca (1978 DA),0.9,0.21,8,17.46,2459800.5,0.5707,2.519,1.081,14.67,167.33,37.44,77.52,3.96,0.2465,0.135,0
  3102 Krok (1981 QA),1.6,,149.4,16.21,2459800.5,0.4496,2.151,1.184,8.44,172.05,154.81,351.74,3.12,0.3125,0.183,0
  3103 Eger (1982 BB),1.5,0.64,5.7103,15.25,2459800.5,0.3542,1.404,0.907,20.93,129.75,254.08,190.19,1.9,0.5924,0.0793,0
  3122 Florence (1981 ET3),4.9,0.231,2.3581,13.87,2459800.5,0.4233,1.769,1.02,22.14,336.06,27.86,25.58,2.52,0.419,0.0442,1
  3199 Nefertiti (1982 RA),2.2,0.42,3.021,14.97,2459800.5,0.2841,1.575,1.127,32.96,339.99,53.39,39.91,2.02,0.4989,0.216,0
  3200 Phaethon (1983 TB),6.25,0.1066,3.604,14.4,2459800.5,0.8898,1.271,0.14,22.26,265.22,322.18,59,2.4,0.6875,0.0192,1
  3271 Ul (1982 RB),,,,16.59,2459800.5,0.3961,2.101,1.269,25.08,158.81,159.11,45.68,2.93,0.3236,0.275,0
  3288 Seleucus (1982 DV),2.8,0.22,75,15.35,2459800.5,0.4563,2.033,1.105,5.93,218.62,349.28,329.28,2.96,0.34,0.102,0
  3352 McAuliffe (1981 CW),,,2.206,15.95,2459800.5,0.369,1.879,1.186,4.77,107.34,16.13,41.57,2.57,0.3827,0.204,0
  3360 Syrinx (1981 VA),1.8,0.17,,16.05,2459800.5,0.7458,2.467,0.627,21.15,242.5,63.54,206.13,4.31,0.2544,0.107,0
  3361 Orpheus (1982 HR),0.3,0.357,3.5327,19.39,2459800.5,0.323,1.21,0.819,2.66,188.68,302.36,152.43,1.6,0.7402,0.0141,1
  3362 Khufu (1984 QA),0.7,0.21,,18.52,2459800.5,0.4686,0.9895,0.526,9.92,152.43,55.05,278.85,1.45,1.001,0.0134,1
  3551 Verenia (1983 RD),0.9,0.37,4.93,16.71,2459800.5,0.4873,2.092,1.073,9.51,173.79,193.28,302.59,3.11,0.3257,0.0743,0
  3552 Don Quixote (1983 SA),19,0.03,6.665,13.07,2459800.5,0.7084,4.264,1.244,31.1,349.92,316.6,173.97,7.28,0.1119,0.337,0
  3553 Mera (1985 JA),,,3.1944,16.46,2459800.5,0.3201,1.645,1.118,36.78,232.49,288.92,275.76,2.17,0.4673,0.295,0
  3554 Amun (1986 EB),3.341,0.074,2.53001,15.91,2459800.5,0.2807,0.974,0.701,23.36,358.61,359.41,126.31,1.25,1.025,0.252,0
  3671 Dionysus (1984 KD),1.5,0.16,2.7053,16.6,2459800.5,0.5411,2.199,1.009,13.53,82.07,204.3,249.8,3.39,0.3022,0.022,1
  3691 Bede (1982 FT),4.3,0.515,226.8,14.81,2459800.5,0.2841,1.774,1.27,20.36,348.74,234.89,11.69,2.28,0.417,0.352,0
  3752 Camillo (1985 PA),2.306,0.21,37.846,15.26,2459800.5,0.3015,1.414,0.987,55.56,147.96,312.22,259.63,1.84,0.5864,0.0799,0
  3753 Cruithne (1986 TO),2.071,0.365,27.3099,15.52,2459800.5,0.515,0.9978,0.484,19.8,126.21,43.87,237.63,1.51,0.9889,0.0709,0
  3757 Anagolay (1982 XB),0.5,0.18,9.012,19.05,2459800.5,0.4455,1.835,1.017,3.87,74.93,17.22,336.45,2.65,0.3966,0.0387,1
  3838 Epona (1986 WA),,,2.3812,15.73,2459800.5,0.7024,1.505,0.448,29.2,235.48,49.73,158.67,2.56,0.5339,0.16,0
  3908 Nyx (1980 PA),1,0.23,4.42601,17.46,2459800.5,0.4593,1.928,1.042,2.19,261.21,126.62,231.09,2.81,0.3683,0.0569,0
  3988 Huma (1986 LA),0.7,,10.4,17.95,2459800.5,0.3166,1.545,1.056,10.77,229.79,86.94,265.53,2.03,0.5134,0.178,0
  4015 Wilson-Harrington (1979 VA),4,0.05,3.5736,16.21,2459800.5,0.6318,2.625,0.967,2.8,266.78,95.44,356.37,4.28,0.2317,0.0427,1
  4034 Vishnu (1986 PA),0.42,0.52,44.4,18.55,2459800.5,0.444,1.06,0.589,11.17,157.9,296.71,257.47,1.53,0.9037,0.0195,1
  4055 Magellan (1985 DO2),2.49,0.31,7.475,14.75,2459800.5,0.3261,1.82,1.227,23.26,164.82,154.43,306.17,2.41,0.4013,0.239,0
  4179 Toutatis (1989 AC),5.4,0.405,176,15.32,2459800.5,0.6245,2.545,0.956,0.45,125.26,277.93,145.46,4.13,0.2428,0.0066,1
  4183 Cuno (1959 LM),3.651,0.097,3.5595,14.23,2459800.5,0.6359,1.982,0.722,6.67,294.43,236.92,253.18,3.24,0.3532,0.0278,1
  4197 Morpheus (1982 TA),1.8,0.37,3.538,15.03,2459800.5,0.7724,2.294,0.522,12.6,7.01,122.57,130.15,4.07,0.2836,0.0985,0
  4257 Ubasti (1987 QA),,,4.4,16.07,2459800.5,0.4682,1.647,0.876,40.72,169.16,278.94,147.93,2.42,0.4663,0.171,0
  4341 Poseidon (1987 KF),3.177,0.054,6.262,16.09,2459800.5,0.68,1.834,0.587,11.84,108.04,15.85,86.49,3.08,0.3969,0.194,0
  4401 Aditi (1985 TB),1.801,0.343,6.67,16.09,2459800.5,0.5633,2.583,1.128,26.63,22.79,68.13,303.69,4.04,0.2374,0.335,0
  4450 Pan (1987 SY),,,56.48,17.27,2459800.5,0.5865,1.442,0.596,5.52,311.8,291.83,96.97,2.29,0.569,0.0287,1
  4486 Mithra (1987 SB),1.849,0.297,67.5,15.68,2459800.5,0.6625,2.2,0.743,3.04,82.24,168.9,275.7,3.66,0.302,0.0462,1
  4487 Pocahontas (1987 UA),,,,17.49,2459800.5,0.2966,1.73,1.217,16.41,198.11,173.96,109.51,2.24,0.433,0.22,0
  4503 Cleobulus (1989 WM),,,2.8164,15.82,2459800.5,0.5242,2.704,1.287,2.51,45.96,76.26,110.33,4.12,0.2217,0.308,0
  4544 Xanthus (1989 FB),1.3,,37.65,17.41,2459800.5,0.2502,1.042,0.781,14.14,23.96,333.87,333.09,1.3,0.9267,0.173,0
  4581 Asclepius (1989 FC),,,8.008,20.74,2459800.5,0.357,1.023,0.658,4.92,180.21,255.36,169.65,1.39,0.953,0.00328,1
  4596 (1981 QB),,,2.49101,16.29,2459800.5,0.5199,2.24,1.075,37.08,154.23,248.36,55.04,3.4,0.2941,0.297,0
  4660 Nereus (1982 DB),0.33,0.55,15.1,18.67,2459800.5,0.3588,1.485,0.952,1.45,313.14,159.53,116.27,2.02,0.5446,0.00373,1
  4688 (1980 WF),0.6,0.18,,19.6,2459800.5,0.5177,2.232,1.077,6.38,241.23,213.83,168.89,3.39,0.2955,0.109,0
  4769 Castalia (1989 PB),1.4,0.092,4.095,17.52,2459800.5,0.4831,1.063,0.55,8.89,325.53,121.41,324.82,1.58,0.899,0.0205,1
  4947 Ninkasi (1988 TJ1),,,21.1,18.08,2459800.5,0.1684,1.37,1.139,15.65,215.43,192.91,12.93,1.6,0.6146,0.151,0
  4953 (1990 MU),,,14.218,14.91,2459800.5,0.6574,1.622,0.556,24.37,77.55,77.92,263.05,2.69,0.4773,0.0255,1
  4954 Eric (1990 SQ),10.8,0.176,12.056,12.6,2459800.5,0.4491,2.002,1.103,17.43,358.42,52.56,69.52,2.9,0.3481,0.195,0
  4957 Brucemurray (1990 XJ),3.499,0.132,2.892,14.93,2459800.5,0.2189,1.565,1.223,35.01,254.89,97.47,107.93,1.91,0.5032,0.426,0
  5011 Ptah (6743 P-L),,,56.3,16.71,2459800.5,0.5002,1.636,0.818,7.41,10.64,105.96,156.83,2.45,0.4711,0.0248,1
  5131 (1990 BG),,,37.2,14.86,2459800.5,0.569,1.486,0.641,36.43,110.38,135.83,282.87,2.33,0.544,0.274,0
  5143 Heracles (1991 VL),4.843,0.227,2.7063,14.13,2459800.5,0.7724,1.834,0.417,9.03,309.48,227.82,88.41,3.25,0.3969,0.0582,0
  5189 (1990 UQ),,,6.653,17.85,2459800.5,0.4781,1.552,0.81,3.58,135.07,159.95,209.71,2.29,0.5099,0.0447,1
  5324 Lyapunov (1987 SL),,,,15.45,2459800.5,0.6048,2.985,1.18,19.62,352.25,321.13,308.9,4.79,0.1911,0.23,0
  5332 Davidaguilar (1990 DA),3.6,,5.803,14.87,2459800.5,0.4552,2.164,1.179,25.52,142.79,306.06,91.76,3.15,0.3097,0.308,0
  5370 Taranis (1986 RA),3.6,0.037,,15.24,2459800.5,0.6371,3.322,1.206,19.17,177.8,161.34,320.4,5.44,0.1628,0.214,0
  5381 Sekhmet (1991 JY),0.935,0.507,2.8233,16.75,2459800.5,0.2963,0.9475,0.667,48.97,58.53,37.43,64.16,1.23,1.069,0.113,0
  5496 (1973 NA),,,2.855,16.15,2459800.5,0.6353,2.436,0.888,68,101.05,118.01,347.86,3.98,0.2593,0.0921,0
  5587 (1990 SB),3.57,0.32,5.0522,13.91,2459800.5,0.5442,2.398,1.093,18.09,189.92,86.83,251.71,3.7,0.2655,0.308,0
  5590 (1990 VA),,,,19.91,2459800.5,0.2795,0.9857,0.71,14.19,216.28,34.49,300.12,1.26,1.007,0.122,0
  5604 (1992 FE),0.55,0.48,5.3375,17.39,2459800.5,0.4061,0.9286,0.552,4.72,311.9,82.65,108.78,1.31,1.101,0.0333,1
  5620 Jasonwheeler (1990 OA),,,5.307,17.14,2459800.5,0.4224,2.16,1.248,7.87,128.67,153.83,43.38,3.07,0.3105,0.239,0
  5626 Melissabrucker (1991 FE),,,2.48611,14.37,2459800.5,0.4548,2.194,1.196,3.85,173.11,231.82,317.61,3.19,0.3032,0.213,0
  5645 (1990 SP),1.668,0.121,30.39,17.21,2459800.5,0.3871,1.355,0.83,13.51,45.71,48.27,24.37,1.88,0.6252,0.0532,0
  5646 (1990 TR),4.3,0.223,3.1999,15.51,2459800.5,0.4362,2.143,1.208,7.91,14.1,335.74,63.78,3.08,0.3142,0.211,0
  5653 Camarillo (1992 WD5),1.537,0.271,4.834,16.27,2459800.5,0.3046,1.794,1.247,6.88,9.89,122.67,95.79,2.34,0.4102,0.283,0
  5660 (1974 MA),,,17.5,15.52,2459800.5,0.7619,1.786,0.425,38.12,302.16,127,27.6,3.15,0.4131,0.162,0
  5693 (1993 EA),,,2.496,16.75,2459800.5,0.5853,1.271,0.527,5.06,96.99,258.96,12.6,2.01,0.6882,0.00562,1
  5731 Zeus (1988 VP4),5.231,0.031,,15.65,2459800.5,0.652,2.267,0.789,11.2,280.63,218.39,295.2,3.75,0.2887,0.0633,0
  5751 Zao (1992 AC),2.3,0.36,76,14.91,2459800.5,0.4252,2.102,1.208,16.07,121.64,25.51,355.44,3,0.3235,0.242,0
  5786 Talos (1991 RC),,,23.6,17.22,2459800.5,0.827,1.081,0.187,23.24,161.3,8.37,296.46,1.98,0.8764,0.189,0
  5797 Bivoj (1980 AA),0.4,,2.706,18.89,2459800.5,0.4443,1.893,1.052,4.19,298.93,168.66,126.7,2.73,0.3783,0.0715,0
  5828 (1991 AM),1.457,0.331,2.6666,16.04,2459800.5,0.695,1.698,0.518,30.12,125.42,152.78,61.15,2.88,0.4455,0.398,0
  5836 (1993 MF),2.754,0.156,4.9543,15,2459800.5,0.5366,2.441,1.131,7.95,238.74,78.04,212.87,3.75,0.2585,0.184,0
  5863 Tara (1983 RB),1.345,0.488,5.867,15.85,2459800.5,0.5055,2.223,1.099,19.49,168.89,115.52,288.95,3.35,0.2974,0.236,0
  5869 Tanith (1988 VN4),,,17.519,17.29,2459800.5,0.3212,1.812,1.23,17.92,227.86,230.82,269.24,2.39,0.404,0.311,0
  5879 Almeria (1992 CH1),,,21.967,17.66,2459800.5,0.289,1.625,1.155,21.57,145.84,355.78,262.31,2.09,0.476,0.17,0
  6037 (1988 EG),,,2.7602,19,2459800.5,0.4995,1.271,0.636,3.5,182.36,242.18,59.68,1.91,0.6877,0.0242,1
  6047 (1991 TB1),,,,17.84,2459800.5,0.3522,1.454,0.942,23.48,6.08,103.82,152.92,1.97,0.5619,0.141,0
  6050 Miwablock (1992 AE),2.884,0.257,5.7566,15,2459800.5,0.4371,2.203,1.24,6.4,88.18,284.98,152.03,3.17,0.3015,0.269,0
  6053 (1993 BW3),3.72,0.14,2.573,14.92,2459800.5,0.5285,2.147,1.012,21.58,318.25,74.89,191.43,3.28,0.3132,0.222,0
  6063 Jason (1984 KB),1.4,0.21,48.6,16.04,2459800.5,0.7633,2.22,0.526,4.96,169.06,337.63,221.67,3.91,0.2979,0.0761,0
  6178 (1986 DA),2.3,0.15,3.5002,15.77,2459800.5,0.5837,2.817,1.173,4.31,64.51,127.39,247.92,4.46,0.2085,0.184,0
  6239 Minos (1989 QF),,,3.5558,18.57,2459800.5,0.4127,1.151,0.676,3.94,344.57,239.69,306.04,1.63,0.798,0.0263,1
  6455 (1992 HE),4.626,0.227,2.7361,14.02,2459800.5,0.5723,2.241,0.958,37.34,26.9,262.82,354.84,3.52,0.2938,0.291,0
  6456 Golombek (1992 OM),,,2.50129,16,2459800.5,0.4094,2.192,1.295,8.23,313.57,347.14,92.14,3.09,0.3037,0.281,0
  6489 Golevka (1991 JX),0.53,0.151,6.026,19.22,2459800.5,0.6124,2.486,0.963,2.27,209.48,68.67,310.84,4.01,0.2515,0.025,1
  6491 (1991 OA),,,2.69,18.74,2459800.5,0.5904,2.501,1.025,5.95,301.9,323.64,303.71,3.98,0.2491,0.043,1
  6569 Ondaatje (1993 MO),,,5.295,16.7,2459800.5,0.2206,1.626,1.267,22.64,111.48,167.34,8.79,1.98,0.4753,0.255,0
  6611 (1993 VW),1.408,0.158,2.5568,16.91,2459800.5,0.4847,1.696,0.874,8.7,230.77,281.63,317.99,2.52,0.4462,0.0604,0
  7025 (1993 QA),0.498,0.34,2.5057,18.1,2459800.5,0.3149,1.476,1.011,12.61,146.61,323.45,294.93,1.94,0.5497,0.0643,0
  7088 Ishtar (1992 AA),1.298,0.26,2.679,16.84,2459800.5,0.3898,1.981,1.209,8.3,102.62,354.76,349.05,2.75,0.3535,0.227,0
  7092 Cadmus (1992 LC),6.319,0.046,,15.02,2459800.5,0.6953,2.542,0.775,17.77,56.92,94.69,196.25,4.31,0.2431,0.0987,0
  7236 (1987 PA),,,,18.3,2459800.5,0.5591,2.725,1.201,16.33,308.51,337.93,291.82,4.25,0.2191,0.202,0
  7335 (1989 JA),1.8,0.448,12,17.61,2459800.5,0.4846,1.772,0.913,15.17,61.28,232.32,14.77,2.63,0.4178,0.0223,1
  7336 Saunders (1989 RS1),,,4.307,18.8,2459800.5,0.4817,2.306,1.195,7.2,174.47,181.5,140.67,3.42,0.2815,0.191,0
  7341 (1991 VK),0.982,0.235,4.2096,16.97,2459800.5,0.5059,1.841,0.91,5.41,294.74,173.5,82.25,2.77,0.3945,0.047,1
  7350 (1993 VA),1.921,0.069,3.58264,17.29,2459800.5,0.391,1.356,0.826,7.26,133.11,336.67,44.38,1.89,0.6241,0.0801,0
  7358 Oze (1995 YA3),,,5.433,14.76,2459800.5,0.5023,2.199,1.094,4.66,265.46,92.23,110.03,3.3,0.3023,0.124,0
  7474 (1992 TC),,,5.54,18,2459800.5,0.2923,1.566,1.108,7.09,88.61,275.62,87.09,2.02,0.5031,0.168,0
  7480 Norwan (1994 PC),,,35.9,17.23,2459800.5,0.317,1.568,1.071,9.45,124.38,256.83,56.57,2.06,0.5021,0.161,0
  7482 (1994 PC1),1.052,0.277,2.5999,16.58,2459800.5,0.3295,1.349,0.904,33.47,117.87,47.48,103.13,1.79,0.6293,0.000769,1
  7753 (1988 XB),,,42.2,18.02,2459800.5,0.4817,1.467,0.76,3.12,73.39,280.06,12.16,2.17,0.5547,0.0067,1
  7822 (1991 CS),1.602,0.075,2.3896,17.31,2459800.5,0.1646,1.123,0.938,37.12,156.85,249.45,239.53,1.31,0.8285,0.0225,1
  7839 (1994 ND),0.784,0.181,,17.8,2459800.5,0.5187,2.166,1.042,27.11,102.52,228.33,280.43,3.29,0.3093,0.136,0
  7888 (1993 UC),2.298,0.257,2.337,15.1,2459800.5,0.6635,2.436,0.82,26.09,165.9,323.06,176.8,4.05,0.2592,0.0864,0
  7889 (1994 LX),1.68,0.452,2.741,15.18,2459800.5,0.3463,1.262,0.825,36.91,111.27,349.18,140.64,1.7,0.6956,0.153,0
  7977 (1977 QQ5),,,7.456,15.17,2459800.5,0.4662,2.226,1.188,25.16,134.15,248.06,175.94,3.26,0.2967,0.356,0
  8013 Gordonmoore (1990 KA),2.3,,8.4,17.1,2459800.5,0.4313,2.2,1.251,7.57,105.56,146.74,309.81,3.15,0.302,0.248,0
  8014 (1990 MF),0.7,,50.09,18.88,2459800.5,0.4562,1.747,0.95,1.87,209.84,114.76,309.97,2.54,0.4268,0.0169,1
  8034 Akka (1992 LR),,,7.283,18.01,2459800.5,0.4092,1.83,1.081,2.02,232.83,68.23,46.45,2.58,0.3981,0.0735,0
  8035 (1992 TB),,,,17.15,2459800.5,0.4625,1.342,0.721,28.31,185.63,6.09,226.57,1.96,0.6339,0.272,0
  8037 (1993 HO1),,,12.98,16.63,2459800.5,0.418,1.986,1.156,5.91,22.39,105.74,209.88,2.82,0.352,0.202,0
  8176 (1991 WA),,,7.111,17.04,2459800.5,0.6431,1.575,0.562,39.59,66.51,241.9,221.84,2.59,0.4987,0.193,0
  8201 (1994 AH2),1.859,0.154,23.949,15.95,2459800.5,0.7068,2.538,0.744,9.55,164.1,25.11,4.49,4.33,0.2437,0.101,0
  8507 (1991 CB1),,,,17.36,2459800.5,0.5946,1.687,0.684,14.59,317.41,345.79,9.54,2.69,0.4497,0.22,0
  8566 (1996 EN),1.568,0.217,4.849,16.38,2459800.5,0.4303,1.506,0.858,37.98,164.12,125.16,23.57,2.15,0.5331,0.0216,1
  8567 (1996 HW1),2.928,0.156,8.7573,15.35,2459800.5,0.4495,2.045,1.126,8.45,177.1,177.3,269.95,2.96,0.3369,0.121,0
  8709 Kadlu (1994 JF1),,,50.6,17.08,2459800.5,0.4889,2.529,1.293,3.52,119.24,153.62,346.44,3.77,0.2451,0.278,0
  9058 (1992 JB),,,,18.01,2459800.5,0.3596,1.557,0.997,16.09,218.3,307.08,238.86,2.12,0.5075,0.0854,0
  9162 Kwiila (1987 OA),1.127,0.088,15.13,18.03,2459800.5,0.5955,1.497,0.605,9.01,180.02,235.79,6.68,2.39,0.5383,0.0811,0
  9172 Abhramu (1989 OB),,,,16.65,2459800.5,0.553,2.709,1.211,7.84,287.64,74.07,141.72,4.21,0.221,0.252,0
  9202 (1993 PB),1.617,0.332,,16.07,2459800.5,0.6078,1.424,0.558,40.82,315.92,212.34,120.96,2.29,0.5801,0.372,0
  9400 (1994 TW1),3.698,0.155,97.1,14.86,2459800.5,0.5806,2.587,1.085,36,3.36,62.13,221.73,4.09,0.2368,0.285,0
  9856 (1991 EE),1,0.3,3.045,17.05,2459800.5,0.6259,2.242,0.839,9.83,168.1,116.22,79.64,3.65,0.2936,0.0221,1
  9950 ESA (1990 VB),,,6.712,16.21,2459800.5,0.533,2.438,1.139,14.59,253.49,103.53,124.1,3.74,0.2589,0.28,0
 10115 (1992 SK),0.938,0.318,7.319,17.16,2459800.5,0.3248,1.248,0.843,15.32,8.9,233.65,239.34,1.65,0.7066,0.0451,1
 10145 (1994 CK1),,,49.2892,16.98,2459800.5,0.6329,1.901,0.698,4.55,328.4,27.4,47.62,3.1,0.3761,0.0628,0
 10150 (1994 PN),,,2.965,15.48,2459800.5,0.544,2.375,1.083,45.95,112.99,234.01,212.32,3.67,0.2692,0.226,0
 10165 (1995 BL2),0.829,0.372,,17.43,2459800.5,0.5037,1.235,0.613,23.9,312.44,348.46,236.96,1.86,0.7184,0.376,0
 10302 (1989 ML),,,19.164,19.5,2459800.5,0.1368,1.273,1.099,4.38,104.3,183.57,17.89,1.45,0.6865,0.082,0
 10563 Izhdubar (1993 WD),,,,16.94,2459800.5,0.2663,1.007,0.739,63.46,56.56,132.19,46.35,1.27,0.9756,0.146,0
 10636 (1998 QK56),0.533,0.645,9.876,17.7,2459800.5,0.5125,1.885,0.919,13.58,172.94,286.32,54.4,2.85,0.3809,0.112,0
 10860 (1995 LE),,,,17.32,2459800.5,0.5745,2.578,1.097,4.15,257.25,75.46,186.01,4.06,0.2381,0.113,0
 11054 (1991 FA),,,2.57223,17.08,2459800.5,0.4464,1.979,1.096,3.08,339.07,92.32,150.83,2.86,0.354,0.124,0
 11066 Sigurd (1992 CC1),2.104,0.19,8.4958,15.25,2459800.5,0.3755,1.391,0.869,36.88,349.23,22.01,314.85,1.91,0.6005,0.118,0
 11284 Belenus (1990 BA),,,5.43,18.26,2459800.5,0.3374,1.74,1.153,1.99,311.74,171.16,60.8,2.33,0.4294,0.17,0
 11311 Peleus (1993 XN2),,,,15.91,2459800.5,0.5359,2.117,0.983,25.49,59.33,313.4,130.62,3.25,0.3199,0.0965,0
 11398 (1998 YP11),1.316,0.318,38.6,16.41,2459800.5,0.3889,1.721,1.052,15.02,144.78,74.71,117.7,2.39,0.4365,0.204,0
 11405 (1999 CV3),3.621,0.112,6.504,15.29,2459800.5,0.3937,1.46,0.885,22.86,141.28,96.37,66.74,2.03,0.5589,0.119,0
 11500 Tomaiyowit (1989 UR),0.738,0.142,73,18.37,2459800.5,0.356,1.08,0.695,10.31,234.4,289.52,340.92,1.46,0.8783,0.0348,1
 11885 Summanus (1990 SS),1.298,0.033,7.368,18.52,2459800.5,0.4744,1.703,0.895,19.43,359.79,116.23,64.58,2.51,0.4434,0.0681,0
 12538 (1998 OH),1.663,0.232,2.575,15.89,2459800.5,0.4062,1.542,0.915,24.54,220.7,321.79,265.07,2.17,0.515,0.0288,1
 12711 Tukmit (1991 BB),,,3.4848,16.01,2459800.5,0.2721,1.186,0.864,38.49,294.98,322.87,41.02,1.51,0.7628,0.111,0
